CCE ID,Description
CCE-5843-8,The ftp login banner should be set appropriately.
CCE-5842-0,The graphical login banner should be set appropriately.
CCE-5560-8,Accounts other than root should be allowed to have the UID 0 or not as appropriate
CCE-4873-6,Accounts other than root and locked system accounts should be allowed to have a GID of 0 or not as appropriate
CCE-5187-0,Each account should be assigned a unique UID or not as appropriate
CCE-5765-3,The ftp account should exist or not as appropriate
CCE-4884-3,Login accounts should include an appropriate GECOS identifier or no GECOS identifier
CCE-5381-9,The screen lock should activate after an appropriate period of inactivity
CCE-5645-7,File permissions should be set appropriately for all shell executables.
CCE-5597-0,Remote (serial) consoles should be enabled or disabled as appropriate.
CCE-5676-2,Root logins should be restricted to the console or not as appropriate.
CCE-5733-1,.netrc files should exist or not as appropriate for all users.
CCE-5702-6,.rhosts files should exist or not as appropriate for all users.
CCE-5076-5,.shosts files should exist or not as appropriate for all users.
CCE-5442-9,The /etc/hosts.equiv file should exist or not as appropriate.
CCE-5640-8,The use of NIS special characters  (+ or -) in the first field of the /etc/passwd file should be allowed or disallowed as appropriate.
CCE-4893-4,The use of NIS special characters  (+ or -) in the first field of the /etc/shadow file should be allowed or disallowed as appropriate.
CCE-5024-5,The use of NIS special characters  (+ or -) in the first field of the /etc/group file should be allowed or disallowed as appropriate.
CCE-5742-2,The /etc/shells file should exist or not as appropriate
CCE-5777-8,Shells referenced in /etc/passwd should be included in /etc/shells or not as appropriate
CCE-5605-1,Groups referenced in /etc/passwd should be included in /etc/group or not as appropriate.
CCE-5750-5,The home directory for the root account should be set appropriately.
CCE-5199-5,The home directory for each user account should be set appropriately.
CCE-5310-8,Home directories referenced in /etc/passwd should exist or not as appropriate
CCE-5327-2,All device files should be located inside an appropriate directory
CCE-4900-7,The ntpd service should be enabled or disabled as appropriate.
CCE-5675-4,The Network Time Protocol (ntp) synchronization server should be set appropriately.
CCE-5147-4,All logon attempts should be logged or not logged as appropriate
CCE-5724-0,All su (switch user) activity should be logged or not as appropriate
CCE-5614-3,Filesystem logging/journaling should be performed or not as appropriate
